timestamp,elapsed_seconds,rpm,speed_kmh,coolant_temp_c,intake_temp_c,throttle_pos_pct,engine_load_pct,short_fuel_trim_pct,long_fuel_trim_pct,maf_g_per_sec,battery_voltage,dtc_codes
2024-03-15 09:00:00.000,0.0,737,0.0,30.0,31.6,0.7,19.2,1.98,2.61,5.62,12.74,[]
2024-03-15 09:00:00.500,0.5,827,0.0,30.1,32.0,0.0,17.9,1.56,2.6,5.89,12.83,[]
2024-03-15 09:00:01.000,1.0,795,0.0,30.2,32.5,0.0,17.4,1.82,2.05,5.78,12.76,[]
2024-03-15 09:00:01.500,1.5,819,0.7,30.3,32.2,1.3,22.1,0.98,2.2,6.29,12.78,[]
2024-03-15 09:00:02.000,2.0,809,1.8,30.4,32.3,0.0,23.0,2.17,2.6,5.98,12.78,[]
2024-03-15 09:00:02.500,2.5,769,0.2,30.5,32.4,0.0,22.5,1.87,2.62,5.83,12.86,[]
2024-03-15 09:00:03.000,3.0,864,1.2,30.6,32.5,0.0,24.4,1.65,2.4,6.5,12.86,[]
2024-03-15 09:00:03.500,3.5,816,0.0,30.7,31.8,1.8,21.8,0.66,2.49,6.22,12.73,[]
2024-03-15 09:00:04.000,4.0,807,1.0,30.8,31.8,0.0,18.0,2.21,2.22,6.05,12.78,[]
2024-03-15 09:00:04.500,4.5,787,0.2,30.9,31.3,0.0,18.8,2.36,2.32,5.99,12.81,[]
2024-03-15 09:00:05.000,5.0,786,0.0,31.0,32.1,0.0,18.5,2.07,2.18,6.07,12.8,[]
2024-03-15 09:00:05.500,5.5,813,0.6,31.1,32.5,0.0,22.8,1.42,2.79,6.09,12.84,[]
2024-03-15 09:00:06.000,6.0,815,0.5,31.2,31.5,1.4,19.9,1.09,2.65,5.95,12.89,[]
2024-03-15 09:00:06.500,6.5,789,0.8,31.3,32.4,1.4,25.4,1.32,2.17,5.56,12.85,[]
2024-03-15 09:00:07.000,7.0,817,0.1,31.4,31.8,1.5,21.2,0.5,2.31,6.09,12.77,[]
2024-03-15 09:00:07.500,7.5,831,0.0,31.5,31.7,0.0,21.4,1.79,2.62,5.86,12.87,[]
2024-03-15 09:00:08.000,8.0,861,0.0,31.6,32.1,0.0,18.7,1.85,1.88,6.19,12.82,[]
2024-03-15 09:00:08.500,8.5,789,0.0,31.7,32.8,0.0,20.3,2.08,2.06,6.05,12.72,[]
2024-03-15 09:00:09.000,9.0,748,1.9,31.8,31.5,1.0,15.6,1.88,2.31,5.68,12.84,[]
2024-03-15 09:00:09.500,9.5,802,0.6,31.9,32.6,1.3,20.3,2.39,2.02,5.74,12.75,[]
2024-03-15 09:00:10.000,10.0,786,1.1,32.0,33.3,0.7,19.6,1.8,2.29,6.14,12.76,[]
2024-03-15 09:00:10.500,10.5,763,0.0,32.1,30.7,0.5,19.8,1.48,2.86,5.9,12.8,[]
2024-03-15 09:00:11.000,11.0,752,0.5,32.2,32.2,2.2,21.8,0.84,2.21,5.85,12.81,[]
2024-03-15 09:00:11.500,11.5,789,1.2,32.3,32.2,0.0,21.7,1.82,2.47,5.91,12.82,[]
2024-03-15 09:00:12.000,12.0,840,0.6,32.4,32.4,0.0,19.1,1.77,1.82,6.02,12.8,[]
2024-03-15 09:00:12.500,12.5,781,2.5,32.5,32.1,0.1,17.9,1.47,2.87,5.86,12.75,[]
2024-03-15 09:00:13.000,13.0,758,0.0,32.6,31.6,0.8,22.0,1.99,2.14,6.04,12.77,[]
2024-03-15 09:00:13.500,13.5,798,0.3,32.7,32.4,0.0,17.1,1.12,2.2,6.04,12.8,[]
2024-03-15 09:00:14.000,14.0,771,0.7,32.8,32.4,1.4,21.0,1.34,2.27,6.05,12.8,[]
2024-03-15 09:00:14.500,14.5,854,0.0,32.9,32.9,0.0,17.4,2.02,2.05,6.43,12.8,[]
2024-03-15 09:00:15.000,15.0,774,0.0,33.0,32.1,0.1,19.5,2.22,2.24,5.64,12.77,[]
2024-03-15 09:00:15.500,15.5,756,2.1,33.1,32.8,0.8,22.6,2.71,2.28,5.98,12.8,[]
2024-03-15 09:00:16.000,16.0,781,0.0,33.2,31.3,1.1,17.8,1.2,2.24,5.66,12.79,[]
2024-03-15 09:00:16.500,16.5,772,0.1,33.3,31.7,0.8,18.5,0.9,2.02,5.89,12.86,[]
2024-03-15 09:00:17.000,17.0,824,0.1,33.4,32.1,1.0,21.4,1.85,2.05,6.13,12.78,[]
2024-03-15 09:00:17.500,17.5,794,0.0,33.5,31.8,0.0,18.2,1.11,2.62,6.02,12.74,[]
2024-03-15 09:00:18.000,18.0,801,0.2,33.6,32.6,0.0,20.4,1.45,2.08,5.82,12.87,[]
2024-03-15 09:00:18.500,18.5,745,0.0,33.7,32.9,0.6,20.9,1.17,2.23,5.78,12.74,[]
2024-03-15 09:00:19.000,19.0,790,0.0,33.8,31.1,0.0,21.2,1.39,2.53,5.77,12.85,[]
2024-03-15 09:00:19.500,19.5,817,0.3,33.9,32.5,0.0,18.0,0.95,2.22,5.96,12.83,[]
2024-03-15 09:00:20.000,20.0,829,0.0,34.0,31.7,1.2,17.3,1.53,2.19,6.24,12.87,[]
2024-03-15 09:00:20.500,20.5,768,0.1,34.1,31.5,0.0,20.8,1.51,1.95,5.9,12.78,[]
2024-03-15 09:00:21.000,21.0,809,0.0,34.2,31.9,1.2,21.8,1.54,2.5,6.18,12.87,[]
2024-03-15 09:00:21.500,21.5,885,0.0,34.3,31.9,1.5,20.3,1.72,2.07,6.87,12.89,[]
2024-03-15 09:00:22.000,22.0,766,0.0,34.4,31.6,1.0,20.9,1.71,2.38,5.78,12.86,[]
2024-03-15 09:00:22.500,22.5,802,0.0,34.5,31.8,0.9,20.9,1.13,2.37,6.03,12.85,[]
2024-03-15 09:00:23.000,23.0,771,0.0,34.6,31.4,0.0,20.8,1.11,2.46,5.87,12.77,[]
2024-03-15 09:00:23.500,23.5,833,1.4,34.7,31.3,0.7,19.2,1.41,2.45,6.46,12.82,[]
2024-03-15 09:00:24.000,24.0,791,0.0,34.8,31.6,1.0,22.2,1.18,1.88,6.01,12.88,[]
2024-03-15 09:00:24.500,24.5,820,0.0,34.9,32.6,0.4,20.5,1.57,2.64,5.86,12.77,[]
2024-03-15 09:00:25.000,25.0,806,0.0,35.0,32.7,0.0,19.0,0.86,1.96,5.89,12.73,[]
2024-03-15 09:00:25.500,25.5,765,0.0,35.1,33.0,0.0,21.2,1.09,1.97,5.71,12.79,[]
2024-03-15 09:00:26.000,26.0,779,0.6,35.2,32.4,0.0,17.6,2.06,2.49,6.08,12.86,[]
2024-03-15 09:00:26.500,26.5,775,1.9,35.3,31.8,0.0,21.1,2.11,2.46,5.66,12.78,[]
2024-03-15 09:00:27.000,27.0,808,0.9,35.4,32.2,0.0,20.4,2.19,2.62,6.11,12.73,[]
2024-03-15 09:00:27.500,27.5,831,1.2,35.5,30.9,0.0,19.9,1.57,2.23,5.8,12.71,[]
2024-03-15 09:00:28.000,28.0,826,0.0,35.6,31.6,2.5,18.2,0.97,2.2,5.99,12.85,[]
2024-03-15 09:00:28.500,28.5,828,0.4,35.7,31.7,0.1,20.1,1.79,2.26,6.02,12.84,[]
2024-03-15 09:00:29.000,29.0,841,0.3,35.8,32.3,0.1,18.8,2.03,2.28,6.06,12.83,[]
2024-03-15 09:00:29.500,29.5,782,0.0,35.9,32.4,0.0,18.6,2.11,2.36,5.79,12.81,[]
2024-03-15 09:00:30.000,30.0,847,0.0,36.0,32.3,0.0,19.8,2.02,1.99,6.25,12.77,[]
2024-03-15 09:00:30.500,30.5,766,0.0,36.1,32.2,0.0,20.5,1.67,2.5,5.57,12.79,[]
2024-03-15 09:00:31.000,31.0,848,0.0,36.2,31.8,0.0,20.5,1.09,2.06,6.72,12.8,[]
2024-03-15 09:00:31.500,31.5,784,1.0,36.3,31.8,0.0,25.1,0.96,1.79,6.3,12.75,[]
2024-03-15 09:00:32.000,32.0,774,0.0,36.4,31.9,0.9,21.5,0.78,1.75,6.01,12.88,[]
2024-03-15 09:00:32.500,32.5,858,0.2,36.5,31.4,1.2,18.0,1.22,2.12,6.13,12.72,[]
2024-03-15 09:00:33.000,33.0,779,0.1,36.6,31.6,0.9,19.5,1.74,2.35,5.86,12.8,[]
2024-03-15 09:00:33.500,33.5,768,0.0,36.7,32.1,0.8,19.2,0.87,2.4,5.92,12.75,[]
2024-03-15 09:00:34.000,34.0,807,0.0,36.8,32.5,0.4,18.3,2.75,2.18,5.99,12.76,[]
2024-03-15 09:00:34.500,34.5,808,0.0,36.9,32.0,0.0,22.0,0.91,2.32,5.94,12.72,[]
2024-03-15 09:00:35.000,35.0,814,0.2,37.0,32.5,1.3,20.8,0.45,2.68,6.29,12.92,[]
2024-03-15 09:00:35.500,35.5,784,0.9,37.1,32.3,0.0,19.8,2.44,2.51,5.61,12.83,[]
2024-03-15 09:00:36.000,36.0,809,1.1,37.2,32.1,0.0,21.0,1.71,2.77,6.06,12.86,[]
2024-03-15 09:00:36.500,36.5,775,1.5,37.3,31.9,0.0,15.9,2.14,2.23,5.81,12.76,[]
2024-03-15 09:00:37.000,37.0,814,0.3,37.4,32.3,0.2,19.4,1.7,2.69,6.14,12.84,[]
2024-03-15 09:00:37.500,37.5,823,0.0,37.5,32.0,0.0,21.8,1.04,2.4,5.92,12.93,[]
2024-03-15 09:00:38.000,38.0,748,0.0,37.6,32.2,0.9,19.9,1.41,2.07,6.08,12.8,[]
2024-03-15 09:00:38.500,38.5,818,0.0,37.7,31.7,0.0,21.3,1.99,2.21,6.2,12.87,[]
2024-03-15 09:00:39.000,39.0,790,0.1,37.8,32.5,1.7,19.2,0.59,2.67,5.97,12.74,[]
2024-03-15 09:00:39.500,39.5,807,0.1,37.9,32.6,2.0,21.0,1.35,2.28,5.8,12.81,[]
2024-03-15 09:00:40.000,40.0,792,0.6,38.0,32.5,0.0,19.7,1.18,1.69,6.41,12.78,[]
2024-03-15 09:00:40.500,40.5,779,1.3,38.1,32.1,1.6,21.2,1.1,2.11,5.82,12.76,[]
2024-03-15 09:00:41.000,41.0,805,0.5,38.2,33.0,1.6,17.9,1.93,2.88,5.53,12.77,[]
2024-03-15 09:00:41.500,41.5,855,0.0,38.3,33.2,0.0,21.2,1.84,2.14,6.01,12.74,[]
2024-03-15 09:00:42.000,42.0,815,0.0,38.4,33.2,0.7,21.9,1.91,2.41,6.22,12.86,[]
2024-03-15 09:00:42.500,42.5,754,0.8,38.5,31.7,0.0,23.4,0.57,2.62,5.94,12.86,[]
2024-03-15 09:00:43.000,43.0,763,0.5,38.6,31.6,0.4,19.2,1.28,2.64,5.99,12.84,[]
2024-03-15 09:00:43.500,43.5,784,1.6,38.7,31.3,0.8,21.1,-0.33,2.63,5.91,12.82,[]
2024-03-15 09:00:44.000,44.0,854,0.4,38.8,32.6,0.0,20.2,1.12,2.28,6.14,12.77,[]
2024-03-15 09:00:44.500,44.5,734,0.0,38.9,32.5,0.0,18.5,1.36,2.33,6.01,12.79,[]
2024-03-15 09:00:45.000,45.0,751,0.4,39.0,31.7,1.7,23.3,2.06,2.27,5.43,12.75,[]
2024-03-15 09:00:45.500,45.5,829,0.0,39.1,32.0,0.0,16.2,1.73,2.15,6.04,12.76,[]
2024-03-15 09:00:46.000,46.0,793,0.2,39.2,32.1,0.3,20.9,1.59,3.01,6.09,12.76,[]
2024-03-15 09:00:46.500,46.5,780,0.6,39.3,32.5,0.1,22.4,0.9,2.36,5.98,12.8,[]
2024-03-15 09:00:47.000,47.0,756,0.0,39.4,31.4,1.6,17.6,2.25,2.42,5.73,12.87,[]
2024-03-15 09:00:47.500,47.5,805,0.0,39.5,31.9,0.0,22.4,1.45,2.56,6.03,12.76,[]
2024-03-15 09:00:48.000,48.0,804,0.5,39.6,33.5,0.9,20.9,0.94,2.27,5.69,12.82,[]
2024-03-15 09:00:48.500,48.5,838,1.2,39.7,33.2,0.0,18.2,1.99,2.33,6.08,12.82,[]
2024-03-15 09:00:49.000,49.0,833,0.0,39.8,33.5,0.0,20.8,1.82,1.95,5.83,12.75,[]
2024-03-15 09:00:49.500,49.5,809,0.6,39.9,32.6,0.0,21.4,1.05,2.38,6.27,12.8,[]
2024-03-15 09:00:50.000,50.0,803,0.9,40.0,32.4,0.4,19.1,1.83,1.8,6.17,12.77,[]
2024-03-15 09:00:50.500,50.5,766,0.0,40.1,31.9,0.0,18.6,2.11,2.6,5.73,12.79,[]
2024-03-15 09:00:51.000,51.0,833,0.0,40.2,32.7,0.8,19.6,1.92,2.84,6.21,12.73,[]
2024-03-15 09:00:51.500,51.5,838,0.9,40.3,32.3,1.7,21.2,1.41,2.25,6.27,12.76,[]
2024-03-15 09:00:52.000,52.0,820,0.0,40.4,32.1,0.0,18.0,1.56,2.07,5.7,12.89,[]
2024-03-15 09:00:52.500,52.5,838,0.5,40.5,32.9,0.0,23.7,1.57,2.79,6.04,12.9,[]
2024-03-15 09:00:53.000,53.0,841,0.2,40.6,32.0,0.0,19.9,1.3,2.23,6.5,12.88,[]
2024-03-15 09:00:53.500,53.5,794,0.0,40.7,32.1,0.7,19.6,1.17,2.01,5.8,12.8,[]
2024-03-15 09:00:54.000,54.0,800,0.0,40.8,31.9,0.0,20.3,1.6,2.62,6.15,12.9,[]
2024-03-15 09:00:54.500,54.5,818,0.0,40.9,31.9,0.0,23.8,1.27,2.16,6.37,12.82,[]
2024-03-15 09:00:55.000,55.0,783,0.1,41.0,32.1,1.2,18.9,1.07,1.93,5.66,12.76,[]
2024-03-15 09:00:55.500,55.5,764,0.0,41.1,32.1,0.0,20.5,1.09,2.31,5.77,12.82,[]
2024-03-15 09:00:56.000,56.0,856,0.0,41.2,32.3,0.0,19.3,1.71,1.83,6.73,12.85,[]
2024-03-15 09:00:56.500,56.5,836,0.4,41.3,32.7,1.3,23.9,1.4,2.67,6.16,12.85,[]
2024-03-15 09:00:57.000,57.0,846,0.0,41.4,32.9,1.4,20.2,1.9,1.94,6.16,12.8,[]
2024-03-15 09:00:57.500,57.5,776,0.0,41.5,32.3,0.0,20.8,0.51,2.38,5.65,12.87,[]
2024-03-15 09:00:58.000,58.0,834,0.0,41.6,32.4,0.9,20.0,1.07,2.04,6.43,12.83,[]
2024-03-15 09:00:58.500,58.5,794,0.7,41.7,32.0,0.0,17.3,1.15,2.2,5.72,12.79,[]
2024-03-15 09:00:59.000,59.0,778,0.0,41.8,32.2,1.0,22.0,0.91,2.61,5.97,12.8,[]
2024-03-15 09:00:59.500,59.5,770,0.7,41.9,32.0,0.0,23.3,1.55,2.72,5.99,12.82,[]
2024-03-15 09:01:00.000,60.0,775,0.3,42.0,31.8,0.0,19.1,2.42,1.9,5.76,12.85,[]
2024-03-15 09:01:00.500,60.5,837,0.0,42.1,32.1,1.0,19.8,0.63,2.45,6.35,12.81,[]
2024-03-15 09:01:01.000,61.0,848,0.5,42.2,32.5,0.9,18.6,1.7,1.7,6.21,12.73,[]
2024-03-15 09:01:01.500,61.5,862,3.3,42.3,31.5,0.3,17.4,2.14,2.26,6.11,12.77,[]
2024-03-15 09:01:02.000,62.0,860,3.3,42.4,32.3,0.0,20.4,1.1,2.91,6.65,12.86,[]
2024-03-15 09:01:02.500,62.5,822,2.0,42.5,32.0,1.5,21.7,2.42,2.62,6.04,12.79,[]
2024-03-15 09:01:03.000,63.0,858,2.9,42.6,32.3,0.3,23.5,1.72,2.38,6.45,12.66,[]
2024-03-15 09:01:03.500,63.5,952,3.2,42.7,32.2,1.2,21.5,1.01,1.97,6.77,13.98,[]
2024-03-15 09:01:04.000,64.0,921,3.9,42.8,32.1,1.4,20.1,2.66,2.62,6.85,13.97,[]
2024-03-15 09:01:04.500,64.5,892,4.0,42.9,32.3,1.6,19.4,1.54,1.84,6.32,12.81,[]
2024-03-15 09:01:05.000,65.0,981,4.9,43.0,32.1,2.3,24.3,0.84,2.48,7.25,14.02,[]
2024-03-15 09:01:05.500,65.5,889,7.0,43.1,32.2,3.5,20.9,1.27,2.51,6.51,12.83,[]
2024-03-15 09:01:06.000,66.0,974,7.2,43.2,32.4,3.9,22.8,1.62,2.22,6.81,14.06,[]
2024-03-15 09:01:06.500,66.5,888,7.1,43.3,32.5,5.1,21.1,1.98,2.59,6.06,12.81,[]
2024-03-15 09:01:07.000,67.0,1016,6.9,43.4,32.6,2.0,21.5,0.69,2.31,7.18,14.06,[]
2024-03-15 09:01:07.500,67.5,974,7.5,43.5,32.5,2.8,19.1,1.94,2.31,6.71,14.04,[]
2024-03-15 09:01:08.000,68.0,1033,9.0,43.6,33.0,2.5,19.6,1.2,2.4,7.32,14.05,[]
2024-03-15 09:01:08.500,68.5,1047,7.4,43.7,32.8,5.8,21.4,1.65,2.42,7.1,14.03,[]
2024-03-15 09:01:09.000,69.0,1035,7.5,43.8,31.9,4.6,21.3,2.13,2.16,7.26,13.97,[]
2024-03-15 09:01:09.500,69.5,1034,10.9,43.9,33.2,3.4,22.2,1.82,2.03,6.95,14.0,[]
2024-03-15 09:01:10.000,70.0,1094,9.4,44.0,32.3,5.7,22.1,2.08,2.27,7.56,13.98,[]
2024-03-15 09:01:10.500,70.5,1090,9.5,44.1,32.7,5.3,23.5,0.87,2.19,7.59,14.0,[]
2024-03-15 09:01:11.000,71.0,1079,11.2,44.2,32.1,6.6,24.3,1.42,2.05,7.44,13.89,[]
2024-03-15 09:01:11.500,71.5,1094,10.9,44.3,32.4,5.6,28.0,0.99,2.19,7.76,13.98,[]
2024-03-15 09:01:12.000,72.0,1131,12.8,44.4,31.9,7.6,24.3,1.54,1.73,7.41,14.01,[]
2024-03-15 09:01:12.500,72.5,1093,13.2,44.5,33.0,6.6,18.9,1.36,2.5,7.5,14.0,[]
2024-03-15 09:01:13.000,73.0,1145,12.7,44.6,31.8,7.6,22.7,1.27,2.42,7.72,13.95,[]
2024-03-15 09:01:13.500,73.5,1147,14.9,44.7,32.7,5.1,22.4,1.15,2.32,8.0,13.98,[]
2024-03-15 09:01:14.000,74.0,1161,14.7,44.8,32.3,8.3,23.9,1.74,2.01,7.82,13.94,[]
2024-03-15 09:01:14.500,74.5,1200,14.1,44.9,31.4,7.7,18.4,1.22,2.49,7.71,13.91,[]
2024-03-15 09:01:15.000,75.0,1148,14.9,45.0,31.5,8.1,25.6,0.87,2.43,7.49,13.92,[]
2024-03-15 09:01:15.500,75.5,1225,15.5,45.1,31.7,6.1,25.3,2.37,1.71,7.93,13.96,[]
2024-03-15 09:01:16.000,76.0,1222,16.0,45.2,32.2,7.7,23.4,1.28,2.33,8.0,14.02,[]
2024-03-15 09:01:16.500,76.5,1248,16.7,45.3,32.5,7.0,23.5,0.26,2.13,8.23,13.98,[]
2024-03-15 09:01:17.000,77.0,1251,18.7,45.4,32.7,8.5,22.3,2.14,1.96,8.28,14.0,[]
2024-03-15 09:01:17.500,77.5,1198,18.4,45.5,31.4,8.1,23.8,0.91,2.1,8.0,13.91,[]
2024-03-15 09:01:18.000,78.0,1267,18.1,45.6,32.6,9.4,20.2,1.81,2.03,8.19,13.99,[]
2024-03-15 09:01:18.500,78.5,1252,17.6,45.7,32.5,9.1,25.1,0.57,1.6,8.23,14.04,[]
2024-03-15 09:01:19.000,79.0,1346,19.9,45.8,32.2,11.3,25.0,1.75,2.15,8.27,13.93,[]
2024-03-15 09:01:19.500,79.5,1296,21.2,45.9,32.4,10.7,29.7,1.17,2.55,8.69,13.97,[]
2024-03-15 09:01:20.000,80.0,1296,21.2,46.0,32.4,9.0,24.8,1.33,2.07,8.43,13.97,[]
2024-03-15 09:01:20.500,80.5,1344,21.0,46.1,32.3,9.7,25.1,1.25,2.17,8.74,13.96,[]
2024-03-15 09:01:21.000,81.0,1295,21.1,46.2,33.4,11.2,24.5,1.41,2.55,8.42,13.84,[]
2024-03-15 09:01:21.500,81.5,1352,22.7,46.3,33.3,9.3,23.2,0.96,2.59,8.66,13.98,[]
2024-03-15 09:01:22.000,82.0,1320,23.5,46.4,32.6,11.8,23.7,2.58,2.08,8.41,13.94,[]
2024-03-15 09:01:22.500,82.5,1342,23.3,46.5,31.9,9.9,19.3,1.37,2.67,8.85,13.94,[]
2024-03-15 09:01:23.000,83.0,1344,23.4,46.6,32.8,12.6,25.4,1.98,2.66,8.44,13.91,[]
2024-03-15 09:01:23.500,83.5,1400,22.5,46.7,33.0,10.4,24.4,1.82,2.54,9.06,13.91,[]
2024-03-15 09:01:24.000,84.0,1421,23.1,46.8,32.4,10.7,21.9,1.54,2.16,9.05,14.06,[]
2024-03-15 09:01:24.500,84.5,1409,22.9,46.9,32.8,11.4,27.5,1.78,2.39,8.81,14.03,[]
2024-03-15 09:01:25.000,85.0,1432,24.3,47.0,32.6,13.8,31.4,1.47,2.29,9.4,13.94,[]
2024-03-15 09:01:25.500,85.5,1411,25.4,47.1,31.4,10.9,22.6,1.06,2.57,8.68,14.01,[]
2024-03-15 09:01:26.000,86.0,1487,26.9,47.2,32.3,12.9,28.9,1.13,2.39,9.43,13.97,[]
2024-03-15 09:01:26.500,86.5,1432,26.4,47.3,32.6,13.5,23.9,1.93,2.27,9.21,13.92,[]
2024-03-15 09:01:27.000,87.0,1483,27.7,47.4,31.2,13.0,21.4,1.3,2.57,9.59,14.05,[]
2024-03-15 09:01:27.500,87.5,1532,30.0,47.5,33.2,14.6,26.2,1.5,2.51,9.41,14.0,[]
2024-03-15 09:01:28.000,88.0,1487,27.6,47.6,32.5,15.6,29.8,1.77,2.78,9.35,13.92,[]
2024-03-15 09:01:28.500,88.5,1513,30.2,47.7,32.1,15.1,28.5,1.24,2.51,9.6,14.03,[]
2024-03-15 09:01:29.000,89.0,1547,31.6,47.8,32.6,13.0,27.2,1.66,2.35,9.99,13.98,[]
2024-03-15 09:01:29.500,89.5,1497,29.8,47.9,33.5,14.4,24.1,1.93,2.62,9.47,14.02,[]
2024-03-15 09:01:30.000,90.0,1599,30.4,48.0,33.1,14.8,24.3,1.02,2.1,9.74,13.91,[]
2024-03-15 09:01:30.500,90.5,1523,31.0,48.1,32.3,15.7,23.9,2.6,2.38,9.46,13.97,[]
2024-03-15 09:01:31.000,91.0,1602,31.4,48.2,32.6,16.6,26.9,1.81,2.23,9.94,13.82,[]
2024-03-15 09:01:31.500,91.5,1601,32.7,48.3,32.7,16.3,24.7,2.44,1.86,9.78,13.97,[]
2024-03-15 09:01:32.000,92.0,1542,32.9,48.4,32.1,16.3,24.7,1.81,3.05,9.86,13.9,[]
